path	line	category	match	text
AGENTS.md	23	optimization-search	CreateDIBSection	| Do not casually replace the patched `Shandalar.exe` binaries with older copies. | Root and `Program/Shandalar.exe` contain documented patches at `0x1785b0` for the start-color `CreateDIBSection` crash, `0xa1a42` for the name-entry default buffer, `0xa1acd`/`0xa1af2` for the name-editor bypass and empty-name fallback, and movement hooks at `0x44398c`, `0x444a2b`, and `0x444aa7` using code cave `0
AGENTS.md	24	optimization-search	CreateDIBSection	| Do not casually replace the active `FaceMaker.exe` binaries with the older no-resolution copies. | Root and `Program/FaceMaker.exe` are now no-resolution/Korath-derived plus an additional documented `CreateDIBSection` compatibility patch. |
AGENTS.md	46	optimization-search	CreateDIBSection	| Root `Shandalar.exe` | `/Users/mdmoll/Shandalar/Shandalar` or `C:\Shandalar` in copied CrossOver bottle `MTG` | Current repo copy is patched for the start-color `CreateDIBSection` crash, default-name handling with name-editor bypass/fallback, and same-arrow map stop, hashes to `ad9ee80e0d377e7f1741e48aa0e33c3a8d7bd2873d43045e32bc42812aaa284b`, and has the same SHA-256 as `Program/Shandalar.exe`;
AGENTS.md	79	optimization-search	glob	| Search docs/scripts for stale paths | `rg -n -i --glob '*.txt' --glob '*.md' --glob '*.cmd' --glob '*.bat' --glob '*.ini' --glob '*.pl' -e 'https?://|www\.|[A-Z]:\\|c:\\|d:\\' .` |
AGENTS.md	81	optimization-search	sort	"| Count files by top directory | `find . -type f | sed 's#^./##' | awk 'BEGIN{FS=""/""} {print $1}' | sort | uniq -c | sort -nr | head -40` |"
AGENTS.md	82	optimization-search	for (	"| Count extensions | `find . -type f | awk 'BEGIN{IGNORECASE=1} {n=$0; sub(/^.*\//,"""",n); if (n !~ /\./) ext=""[none]""; else {ext=n; sub(/^.*\./,"""",ext); ext=tolower(ext)}; count[ext]++} END{for (e in count) print count[e], e}' | sort -nr | head -40` |"
archive/debug-evidence/assertFile.txt	3	optimization-search	CreateDIBSection	WM_CREATE CreateDIBSection
archive/historical-docs/Readme13.txt	172	optimization-search	sort	sort preference.
Classic/Manalink.csv	299	optimization-search	sort	294;Ashes to Ashes;1;Ashes to Ashes;020h;1;6;0;1;1;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0110h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;Remove two target nonartifact creatures from the game. Ashes to Ashes deals 5 damage to you.;All rivers eventually run to the sea. My job is to sort o
docs/architecture.md	47	optimization-search	CreateDIBSection	| Root `Shandalar.exe` and `Program/Shandalar.exe` | Same active SHA-256 in this checkout and copied `MTG`/`Shandalar-Win8-Test` installs: `ad9ee80e0d377e7f1741e48aa0e33c3a8d7bd2873d43045e32bc42812aaa284b`. Both include the `CreateDIBSection hSection = NULL` compatibility patch, the `mPlayer` default-name seed, the name-editor bypass/fallback, and the same-arrow movement-stop code cave. Current `M
