path	language	area	bytes	lines
archive/local-helpers/shandalar_homedoom.bat	batch	historical	82	5
magic_updater/Magic_updater.bat	batch	tooling	263	11
magic_updater/Manalink/CSV.pm	Perl	tooling	18111	416
magic_updater/parse-ct.pl	Perl	tooling	734	32
magic_updater/parse-ml.pl	Perl	tooling	699	32
magic_updater/test.pl	Perl	tooling	3974	107
magic_updater/xct.pl	Perl	tooling	264	17
magic_updater/xml-to-csv.pl	Perl	tooling	88259	2872
magic_updater/xml.pl	Perl	tooling	270	17
Manalink3/Manalink_Launcher.cmd	batch	historical	28125	889
Manalink_Launcher.cmd	batch	unknown	28125	889
ManalinkEh.asm	assembly	unknown	1289	35
Program/magic_updater/Manalink/CSV.pm	Perl	runtime-adjacent	2508	167
Program/magic_updater/parse-ct.pl	Perl	runtime-adjacent	734	32
Program/magic_updater/parse-ml.pl	Perl	runtime-adjacent	699	32
Program/magic_updater/test.pl	Perl	runtime-adjacent	3974	107
Program/magic_updater/xct.pl	Perl	runtime-adjacent	264	17
Program/magic_updater/xml-to-csv.pl	Perl	runtime-adjacent	73236	2486
Program/magic_updater/xml.pl	Perl	runtime-adjacent	270	17
Program/src/capturestackbacktrace.def	module definition	source	60	4
Program/src/card_id.h	C/C++ header	source	750807	15647
Program/src/cardartlib/CardArtLib.def	module definition	source	314	18
Program/src/cardartlib/CardArtLib.h	C/C++ header	source	1276	42
Program/src/cardartlib/Makefile	make	source	328	17
Program/src/cardartlib/src/main.cpp	C++	source	11405	415
Program/src/cards/alara_reborn.c	C	source	73506	2406
Program/src/cards/alliances.c	C	source	93519	3025
Program/src/cards/antiquities.c	C	source	74714	2438
Program/src/cards/apocalypse.c	C	source	79650	2466
Program/src/cards/arabian_nights.c	C	source	64892	2077
Program/src/cards/archenemy.c	C	source	35123	1060
Program/src/cards/auto_targets.c	C	source	1204	36
Program/src/cards/avacyn_restored.c	C	source	159270	5287
Program/src/cards/battle_for_zendikar.c	C	source	176766	5275
Program/src/cards/betrayers_of_kamigawa.c	C	source	95354	2987
Program/src/cards/born_of_the_gods.c	C	source	143435	4455
Program/src/cards/champions_of_kamigawa.c	C	source	138620	4489
Program/src/cards/coldsnap.c	C	source	93416	2990
Program/src/cards/commander.c	C	source	45274	1446
Program/src/cards/commander_2013.c	C	source	50658	1555
Program/src/cards/commander_2014.c	C	source	89408	2772
Program/src/cards/commander_2015.c	C	source	12711	288
Program/src/cards/conflux.c	C	source	59954	1903
Program/src/cards/conspiracy.c	C	source	95874	2861
Program/src/cards/dark_ascension.c	C	source	115755	3802
Program/src/cards/darksteel.c	C	source	83291	2769
Program/src/cards/dissension.c	C	source	135149	4210
Program/src/cards/draft.c	C	source	31816	1168
Program/src/cards/dragons_maze.c	C	source	120784	3849
Program/src/cards/dragons_of_tarkir.c	C	source	171171	5322
Program/src/cards/equipment.c	C	source	4634	131
Program/src/cards/eventide.c	C	source	129751	4007
Program/src/cards/exodus.c	C	source	86209	2859
Program/src/cards/fallen_empires.c	C	source	97170	2969
Program/src/cards/fate_reforged.c	C	source	148989	4650
Program/src/cards/fifth_dawn.c	C	source	110045	3521
Program/src/cards/future_sight.c	C	source	103608	3296
Program/src/cards/gargaroz.c	C	source	9169	245
Program/src/cards/gatecrash.c	C	source	178767	5702
Program/src/cards/guildpact.c	C	source	97010	3147
Program/src/cards/homelands.c	C	source	93228	2660
Program/src/cards/ice_age.c	C	source	236974	7000
Program/src/cards/innistrad.c	C	source	178028	5823
Program/src/cards/invasion.c	C	source	123277	3960
Program/src/cards/journey_into_nyx.c	C	source	143905	4581
Program/src/cards/judgement.c	C	source	59927	1986
Program/src/cards/khans_of_tarkir.c	C	source	176455	5730
Program/src/cards/legends.c	C	source	244490	7669
Program/src/cards/legions.c	C	source	48031	1570
Program/src/cards/lorwyn.c	C	source	170305	5471
Program/src/cards/m10.c	C	source	25632	832
Program/src/cards/m11.c	C	source	76662	2516
Program/src/cards/m12.c	C	source	63584	2184
Program/src/cards/m13.c	C	source	61857	1957
Program/src/cards/m14.c	C	source	72895	2222
Program/src/cards/m15.c	C	source	140947	4618
Program/src/cards/mercadian_masques.c	C	source	117701	3868
Program/src/cards/mirage.c	C	source	153895	4875
Program/src/cards/mirrodin.c	C	source	144422	4911
Program/src/cards/mirrodin_besieged.c	C	source	86932	2942
Program/src/cards/morningtide.c	C	source	86000	2786
Program/src/cards/nemesis.c	C	source	72597	2344
Program/src/cards/new_phyrexia.c	C	source	133273	4530
Program/src/cards/odissey.c	C	source	153462	5103
Program/src/cards/onslaught.c	C	source	146294	4720
Program/src/cards/origins.c	C	source	156033	4551
Program/src/cards/planar_chaos.c	C	source	105597	3356
Program/src/cards/planechase.c	C	source	98651	3194
Program/src/cards/planeshift.c	C	source	64919	2132
Program/src/cards/planeswalker.c	C	source	12851	321
Program/src/cards/portal_1_2_3k.c	C	source	62372	2261
Program/src/cards/promo.c	C	source	35899	1107
Program/src/cards/prophecy.c	C	source	42344	1468
Program/src/cards/ravnica.c	C	source	174434	5789
Program/src/cards/return_to_ravnica.c	C	source	177588	5905
Program/src/cards/rise_of_the_eldrazi.c	C	source	127409	4198
Program/src/cards/sabertooth_nishoba.asm	assembly	source	230	11
Program/src/cards/saviors_of_kamigawa.c	C	source	90686	2926
Program/src/cards/scars_of_mirrodin.c	C	source	171976	5659
Program/src/cards/scourge.c	C	source	67689	2273
Program/src/cards/shadowmoor.c	C	source	183127	5896
Program/src/cards/shards_of_alara.c	C	source	131917	4266
Program/src/cards/stronghold.c	C	source	79638	2682
Program/src/cards/tempest.c	C	source	148325	4806
Program/src/cards/the_dark.c	C	source	119009	3727
Program/src/cards/theros.c	C	source	168178	5256
Program/src/cards/time_spiral.c	C	source	196988	6259
Program/src/cards/tokens.c	C	source	13174	463
Program/src/cards/torment.c	C	source	70609	2380
Program/src/cards/unglued_unhinged.c	C	source	1780	64
Program/src/cards/unlimited.c	C	source	167101	5148
Program/src/cards/urza_destiny.c	C	source	66231	2167
Program/src/cards/urza_legacy.c	C	source	56344	1851
Program/src/cards/urza_saga.c	C	source	147477	4780
Program/src/cards/vanguard.c	C	source	56642	1912
Program/src/cards/visions.c	C	source	100111	3204
Program/src/cards/weatherlight.c	C	source	93574	3067
Program/src/cards/worldwake.c	C	source	73431	2182
Program/src/cards/zendikar.c	C	source	145870	4540
Program/src/defs.h	C/C++ header	source	129699	2605
Program/src/dmp.pl	Perl	source	2476	148
Program/src/drawcardlib/Cardartlib.def	module definition	source	193	12
Program/src/drawcardlib/config.c	C	source	53922	1520
Program/src/drawcardlib/drawcardlib.c	C	source	60689	1598
Program/src/drawcardlib/Drawcardlib.def	module definition	source	290	16
Program/src/drawcardlib/drawcardlib.h	C/C++ header	source	21075	442
Program/src/drawcardlib/drawcounters.c	C	source	10151	335
Program/src/drawcardlib/drawfullcard.c	C	source	49096	1443
Program/src/drawcardlib/drawmanatext.c	C	source	12291	542
Program/src/drawcardlib/gdiplus.h	C/C++ header	source	6981	205
Program/src/drawcardlib/get_displayed_card_instance.asm	assembly	source	478	19
Program/src/drawcardlib/image.def	module definition	source	39	4
Program/src/drawcardlib/Makefile	make	source	1772	55
Program/src/Expansions.h	C/C++ header	source	4374	137
Program/src/functions/abilities.c	C	source	38575	1165
Program/src/functions/ai.c	C	source	21296	600
Program/src/functions/auras.c	C	source	27942	703
Program/src/functions/boost_creature_type.c	C	source	2720	89
Program/src/functions/call_card_fn.asm	assembly	source	879	24
Program/src/functions/challenge_mode.c	C	source	73515	2615
Program/src/functions/count_graveyard.c	C	source	3814	172
Program/src/functions/counters.c	C	source	67114	1969
Program/src/functions/damage_effects.c	C	source	32670	784
Program/src/functions/deadbox.c	C	source	9248	284
Program/src/functions/deck.c	C	source	79806	2418
Program/src/functions/dialog.c	C	source	21195	749
Program/src/functions/display_error_message.asm	assembly	source	444	18
Program/src/functions/engine.c	C	source	53500	1427
Program/src/functions/equipments.c	C	source	15846	475
Program/src/functions/events.c	C	source	41446	1038
Program/src/functions/exiledby.c	C	source	18930	569
Program/src/functions/functions.c	C	source	483067	14802
Program/src/functions/generic_protection_from.asm	assembly	source	646	38
Program/src/functions/get_power.asm	assembly	source	381	31
Program/src/functions/global_checking.c	C	source	33335	1158
Program/src/functions/has_creature_type.c	C	source	52450	1570
Program/src/functions/has_threshold.c	C	source	144	9
Program/src/functions/helper_functions.c	C	source	438	22
Program/src/functions/manipulate_and_damage_all.c	C	source	10204	331
Program/src/functions/multiblock.c	C	source	16991	506
Program/src/functions/play_spell_for_free.c	C	source	20334	617
Program/src/functions/produce_mana.c	C	source	61913	1475
Program/src/functions/protection_from_black.asm	assembly	source	179	10
Program/src/functions/protection_from_blue.asm	assembly	source	176	10
Program/src/functions/protection_from_green.asm	assembly	source	179	10
Program/src/functions/protection_from_red.asm	assembly	source	173	10
Program/src/functions/protection_from_white.asm	assembly	source	179	10
Program/src/functions/rules_engine.c	C	source	109478	3275
Program/src/functions/sacrifices.c	C	source	26777	859
Program/src/functions/show_backtrace.c	C	source	1031	44
Program/src/functions/targets.c	C	source	71113	2074
Program/src/functions/token_generation.c	C	source	17190	462
Program/src/functions/tutors.c	C	source	47330	1523
Program/src/functions/upkeep.c	C	source	10431	259
Program/src/functions/utility.cpp	C++	source	1878	87
Program/src/functions/windows.c	C	source	13691	434
Program/src/Magic-trace.c	C	source	335648	5275
Program/src/Makefile	make	source	317	19
Program/src/manalink.h	C/C++ header	source	187017	2017
Program/src/ManalinkEh.asm	assembly	source	815182	21594
Program/src/ManalinkEh.def	module definition	source	72	5
Program/src/patches/Makefile	make	source	902	32
Program/src/patches/Manalink/Patch.pm	Perl	source	2226	104
Program/src/patches/patch.h	C/C++ header	source	1840	81
Program/src/patches/patch_ai_opinion_defender.pl	Perl	source	1777	36
Program/src/patches/patch_always_dispatch_events.pl	Perl	source	3349	64
Program/src/patches/patch_always_set_tapped_for_mana_color.pl	Perl	source	956	22
Program/src/patches/patch_attach_equipment.pl	Perl	source	4898	106
Program/src/patches/patch_autotap_artifacts_and_creatures.pl	Perl	source	5408	102
Program/src/patches/patch_change_ai_time.pl	Perl	source	5474	152
Program/src/patches/patch_change_ai_time_540.c	C	source	2432	68
Program/src/patches/patch_charge_mana.pl	Perl	source	10085	171
Program/src/patches/patch_charge_mana_can_activate.c	C	source	2991	68
Program/src/patches/patch_charge_mana_can_activate.pl	Perl	source	2592	54
Program/src/patches/patch_choose_a_card_accelerator_for_gold.pl	Perl	source	944	38
Program/src/patches/patch_copy_to_display.pl	Perl	source	1716	58
Program/src/patches/patch_counters.pl	Perl	source	9093	176
Program/src/patches/patch_create_card_instance.pl	Perl	source	1165	39
Program/src/patches/patch_deckdll_dll.pl	Perl	source	348	16
Program/src/patches/patch_disable_validate_loaded_game.pl	Perl	source	1060	28
Program/src/patches/patch_dispatch_trigger.pl	Perl	source	1169	42
Program/src/patches/patch_do_dialog_hook.pl	Perl	source	612	17
Program/src/patches/patch_dont_draw_counters_on_planeswalkers.pl	Perl	source	3911	75
