status	path	src_sha256	program_src_sha256	notes
missing-in-program	.gitattributes	824a5321cb49fc3944ede5885deeac08c3597bd396277abc2a85708a5be4e940		none
missing-in-program	.gitignore	2753eb50d67f39c17879796e96f8515f45a50ff4cc147e9616afff477ac1d37f		none
missing-in-program	Drawcardlib.def	9cf47cb79bec65f990551caa75d5e6dc34bfac234998d9a97400b58ebd65c786		none
different	Expansions.h	a0861ccc3db13ea7642c7ebd0f04c8d531796527a43123c6376bbd78f6c47faa	d012650c9e37fb82dab79f9531d1bc74384bc099c2e1e6035bc976871076a421	none
different	Magic-trace.c	d89d64c9e410ef817670d654a8ebc2f670285cae2fa0bf341f6df3bf7bf31967	c80d40f40174d1af131225a57c14660302b79ba2bc8fa950e91d60b6066765ca	none
different	Makefile	de4891bebe08f9906e23f185d0a07a5cf421e4ca049e2003226ea2a0aaf617c6	63d5d03f5e22ce15234ebd521c57e7ace07b1fbb71160d2826b083fcbd134d52	none
different	Makefile-common	96887a8bd7cf746ec6ccdddb17e959ece3266286165d74e08022567e31b0f13a	e9ef511dbee5b8728557831c4779bbd79a9d6003a9c064a42642401407560525	none
different	Makefile-targets	4746f8770bcaac3b543e835a2a39747a02dbf081ceae895f62dcb2f6eab8cbf6	e355a82bb31935decc53f15d3f4f7b3f115a30f6a7d74eae3255eccd8ebbf47e	none
different	ManalinkEh.asm	228d09ecbcfc9e2e46ba70d30626653b53ce56f23e9ff1d9eb77633b75161d03	211ff72584163d5ae42882877f0cd0bcf0bde87a4fb5e734a6269b2262f398a4	none
same	ManalinkEh.def	e1c61eb7db010b408ca4e46dfb77eb71d166a78aac20aa63d2b79fc7da2464f0	e1c61eb7db010b408ca4e46dfb77eb71d166a78aac20aa63d2b79fc7da2464f0	none
same	ManalinkEh.mac	2177df5ff129fc172b2b13204f3cf6fcbdbea9b7a30ee7892e9577a2c84edd46	2177df5ff129fc172b2b13204f3cf6fcbdbea9b7a30ee7892e9577a2c84edd46	none
missing-in-program	build.pl	132568b928cfd9f3b623c1aa4396a075ac59a63ccbe2c0d93e763b20d63b01be		none
same	capturestackbacktrace.def	7f4c88c0c098cad70852d40475bf49b71a1573c33a5138ee3155a4c175c5a5b4	7f4c88c0c098cad70852d40475bf49b71a1573c33a5138ee3155a4c175c5a5b4	none
same	card_id.h	d9f91726070a7246602e0e6b3b1121d3db0681c3c1efb91d95ed6e365f2896e8	d9f91726070a7246602e0e6b3b1121d3db0681c3c1efb91d95ed6e365f2896e8	exact-match-required
missing-in-program	cardartlib/.gitattributes	909aad043be6525e532d5f86ad3d784d82fc392ecdcdab31485a3942ca7014a9		none
missing-in-program	cardartlib/.gitignore	b6e9c22b38b8da8ba6a6e3ad7a56408782328a2dc608096686574463b19dc421		none
same	cardartlib/CardArtLib.def	bf7fad46cc88a6e19dccdd44d7f3e6390196e9f699da21a54c92f8df4fb6efcd	bf7fad46cc88a6e19dccdd44d7f3e6390196e9f699da21a54c92f8df4fb6efcd	none
same	cardartlib/CardArtLib.h	1a387fed80b96cb9bffc8967cfa5c85b30eee2f2b8714d008d1fb7629b37d38c	1a387fed80b96cb9bffc8967cfa5c85b30eee2f2b8714d008d1fb7629b37d38c	none
different	cardartlib/Makefile	4f8a0020936030283d86f91af6f32dd9969e03215d1eef9a4f6459de232cb01d	b392f3e5af5e4b2766893c00a6d29f5e8ac291600ced3648369629c29267d93d	none
same	cardartlib/Makefile-msvc	f6483a2956249de787b8dc3348d8c2bdd09deaf99bf9697a4d4d38cd652e2ceb	f6483a2956249de787b8dc3348d8c2bdd09deaf99bf9697a4d4d38cd652e2ceb	none
missing-in-program	cardartlib/src/.gitattributes	fa1c3a1031c4c622a95e82c1cfaaa4c9840ee244686acac67a34f303bdbaf790		none
missing-in-program	cardartlib/src/.gitignore	95fa18fd1ef5ec464dc9b8f814bdab1e5a302513888e146902fad3dd1c40ff16		none
same	cardartlib/src/main.cpp	a4f723cf9912c1ed8da54d0ef1e44f8c4b4b0126aa0e558732c5ce21b8c2b510	a4f723cf9912c1ed8da54d0ef1e44f8c4b4b0126aa0e558732c5ce21b8c2b510	exact-match-required
missing-in-program	cards/.gitattributes	e15a07f1b88fd9f1d514ba92cc4cb1c152ef9d327bf7093d3d242d95d23ecf4d		none
missing-in-program	cards/.gitignore	16b73f20ee6913adf37b8aacf6a42410fa10695767896be6fc80056f51cb00e8		none
different	cards/alara_reborn.c	aae8bc245d5c0108d1e6d5de11473fffed07f84d9273fd8f3999715499d9bec4	0e4018d665998d03d8a5cb78530cc3f15a6b618f24e41018a431ec830bbb9ba4	none
different	cards/alliances.c	ae2f369a632e26f1ab10dcc87d484905022907ce76c98bec20dbea7d8b3ccc08	777dbc5ff7010854f82ee5912c799308ec734cde7d80e85e31392af5dda3564c	none
missing-in-program	cards/angels_feather.asm	475746c57318572d0769024484c77faac1069b264df2fd07b0282bbb1992ea9a		none
different	cards/antiquities.c	882610435dd05859cdbb9a585e103f821a8d1128249d086d898c58f6494ae3f6	9c33a76feb68efece8325d8dfc50cd646ca81d0e1e20637261f185f258968197	none
different	cards/apocalypse.c	7ee930429e13059691d76d9b2a0459fad66e02498faaf498f6161689bb676212	8cd41c39e36d25b1c64f410ee1bb0c3a48bc7711668706bc2b0752638d1da220	none
different	cards/arabian_nights.c	25ded322e1a2614bc58c1d0276b18642479e5feffbe7a25153041a7b823a971b	83e4a1b8884ee458abcecd8c0897680285cc0dc1d2c049598cdc21f6e8ed84bd	none
different	cards/archenemy.c	d6f94a75687834cbad02c5634b9e53cabc6ef33aaab9727465de1cf0a11d37ed	dae72915bcd25675c7368e73b317897cf825372a756cee8f0fb0e10a0968fb21	none
missing-in-program	cards/artifact_creatures.c	03ccdfa66ae01a7fb69a0deb310dad941bb087ab5baafbd9bb911ad549a4554a		none
missing-in-program	cards/artifacts.c	419d65c53955b97a173846a17a14c98b713914ff48df2787d9fdea7de633ef52		none
same	cards/auto_targets.c	e4bf4c186100bf72e55c5669606ded3a25260b98268617911bdb21c8dbeabada	e4bf4c186100bf72e55c5669606ded3a25260b98268617911bdb21c8dbeabada	none
different	cards/avacyn_restored.c	b8a6ee81c80e5b8ffceb6c84aeff1c12255fa78b8c4ee798a955ba0f56aff7af	c250a4158b7c9fcc9fac724d653ca3d81bca4d8f99d597a16fdefea02895db87	marker-checked
different	cards/battle_for_zendikar.c	291d1baf4d3f8403beff48551c05622aa3e1c70604beea34d6a001ae9f986155	f94a7dc81d1278161309481f377dfd16d318e0a6407f9cb127b9bbb22fd060c6	none
different	cards/betrayers_of_kamigawa.c	4e7fc70529b48bc167363ebadb686a0eba8ff3e80bd882509551f5e9468d270d	1c42d3c85810a8fbd64a320ccf920e68566a5cf08625396bf348c09003c54327	none
missing-in-program	cards/black_creatures.c	655c6e1137ee94de2b26b002627de5634a38fe37a4d12b107c988adc398b6dfd		none
missing-in-program	cards/black_enchantments.c	09e88c102c630199ea9a68acb447af16d27f2f051fc9a50fc788ffe2113ca2fc		none
missing-in-program	cards/black_oneshot.c	626b62b622cb57c6eac537475249f27fc2888a008c99b24b8d4fa3652273f423		none
missing-in-program	cards/blood_crypt.asm	73594e1cea323dc211bf74d2bd3259aa7f27bbd71972de147fba041ba9a608d9		none
missing-in-program	cards/blue_creatures.c	7c6bef2877fcf5d86c2b958f8256ffbabc38b99158df9b0d89f79e741f099b32		none
missing-in-program	cards/blue_enchantments.c	09187a407097945538a8b8fb4f8b7591dfb6ef0d854a19dae8c2081f29c5033f		none
missing-in-program	cards/blue_oneshot.c	80ce17df74692764af2506d420d37d790e664b1da0646b95c679a0138df6eb6f		none
different	cards/born_of_the_gods.c	ed218caeb002aa2323c3355c417f78c7c115c1af862959d94e2a5f40b36029f4	876a1abbe46d9bb87b8feccb4d74b854a3139fdfb26085791517b7b24b77ab40	none
missing-in-program	cards/breeding_pool.asm	445e295b2b1f6e1ca723d0e15a657b5e5d78229e9460e7081d9e76f6d0808eb5		none
different	cards/champions_of_kamigawa.c	63b69349fcf99f5d21a87fec66c210011150eef073ee182e8bad5ad54b060280	b45e091fe0e6c63a75d5df9106046aab0eac2630c468fae70242e3df60ef3666	none
different	cards/coldsnap.c	37d9e3d06c32286140f9a11d9b4eee934350e139295e25352edebc64d10d7951	87c765f93975923ab5e7e46826c3f0fdbac5aae110870e510847d48cfd4ad6b8	none
different	cards/commander.c	0775b18c9c70856eef8161a4f495a79e016df11e5b9fa313ce992804c09719cd	40a5be67aa414906af833a11adaeafe4bd481a4ed3e093a4e689d88aceb34652	none
different	cards/commander_2013.c	6bdd91bd64f3fde93d55eb720ed6c494cab139b852f81da36f028c859a18411b	6387c0a48b574f883539101d85d8e5970e9354305788c98ca43b0d1474a204dd	none
different	cards/commander_2014.c	0abdddb7e693457ffca0351bf86440085c03b9bb5478949184459d68f748dbd0	c1b606429c979aef76c7506f921270d4e52e419cfdd950930a0ed22895e3c9b3	none
different	cards/commander_2015.c	cca16b05f94b63e40fb2e3843c578d29d1aacb9a2348c761e47c24539ff5fa6c	f2fd05bff1cadd8303c92c1d25530644d6dc27e8eddeb3f991140f6c00b69c72	none
different	cards/conflux.c	05705efdc913752cfc3fd669e175eae3025494fd4cb026ee48d1bc9aeeca4f9c	43d7a1433b8b49de085bf4273a1bb7ab56810a0da3ed4d5a0520fa8c4466e83d	none
different	cards/conspiracy.c	9001d03f23278a284e1a9d2a920837a63da544adb09cf6283fccda989d4ee07c	12a1f32622ef3b417eac41e2cc1ab314181044c13482b2a12c5576f40e1a5189	none
different	cards/dark_ascension.c	b79d6944aa58a5123e6d2efd6b7335643f37d167ce1fa7bcfeef23f51f1a06bb	1f2a089de84ab0cbd5101d9158f211a7e7c961b4f910740662b4d4d1fd77a0af	none
different	cards/darksteel.c	7274a254371b3dd56bb19b108edbfc5da4daca5dbb72c26140013c85e08b40e0	6fc61eb1ba787f59030a3e79724cfcc74299b147d2de7357a05d661f68ebdf43	marker-checked
missing-in-program	cards/demons_horn.asm	4d8f33a6260816e31963b31c86cf0e545190594a59cabf0e43eff437f267bb6c		none
different	cards/dissension.c	60ebf5731fd0cfd967efc9ef7650fd3ac8c78501d3d9c36cac8023668c288a98	63d3b018abe7f72e41685ce750b10d79782e4b5fe2477106796c4cfc1371c70a	none
same	cards/draft.c	349027ed28eab7ade8d7c1e920c9073993e7d573f0889b0e6293a0218aef24c1	349027ed28eab7ade8d7c1e920c9073993e7d573f0889b0e6293a0218aef24c1	exact-match-required;marker-checked
missing-in-program	cards/dragons_claw.asm	a62ce0c54b2bb204cc7eb680720144ed4300ef388f68764ae5275db01b58a667		none
different	cards/dragons_maze.c	47285c19ec6175d25c874127abba4f2961622d3f3edece0a5cc208ec90110a20	79e8ddfdb778fc5c2446a5f1ae3f532b526c821bc1c42dfefba3cc10b71cf0c8	none
different	cards/dragons_of_tarkir.c	e35ce1fdc9efe8c823e06d9c98874d99d6a10a8bcc8fc80c08aab5f7bead2fc0	24f796347485015065a058c1383e6cff218d7950181b59209ff1b66bd3ed36a4	none
missing-in-program	cards/eldritch_moon.c	b7a04f0948bd7ad213ea26a1b31c0a9031914d7e230be3b172f4db65c81811ac		none
same	cards/equipment.c	28bb61e7725328fea91e3fa7814f9559690d41799d282d19ee3291cfe88cd877	28bb61e7725328fea91e3fa7814f9559690d41799d282d19ee3291cfe88cd877	none
different	cards/eventide.c	1fe13dec8eaf4007de29a0f5fe4b716a77943b05beda9491959c721e3539b98b	9fcca333f804fa87241be58abd0e8fd21513c66b3c51ebd7c9f6036223b0fc1c	none
different	cards/exodus.c	cd3d2a1f8c08f39f2df5c386fe578686bb8cdf1b2083add914f265560b155746	36ed1d1edde519e8cd7eeca7595e5a6d1bc82d5d3bc72fed403821ea16fae136	none
different	cards/fallen_empires.c	61f4ee9a8483ec37a865a618b5089ec513de7041835d93c1023e1088180d220a	d307a050c25b9af7be441a8a2d23dae0520820bf6f3b250ef75d1afd06fb488e	none
different	cards/fate_reforged.c	2c9f9bfe897a835284dda3a3e1da4233db567c5897ad3d3146e7aaeab02bd299	e76bf03b3a2f50c341d71d2f2b0f1d07c17fe3a8f59f52f7f790c25d1fbe88c8	none
different	cards/fifth_dawn.c	470e4d4f429cd05e1baa7bb2c87ac0171d45a213333149c76ab1556706e99800	51fd82d0dfa1b859b550e97ed420060529ded38eaa9cd3180901647dc387486a	none
different	cards/future_sight.c	b4d7d3de7d6c6e24dc4e22d81fba406d08601dbaa0b709181db4161c7059d8c0	187dc65e7e2417394f8515572d002498259f6d473b625860df5e87d32fd79e1d	none
same	cards/gargaroz.c	91020ccf15e7b89d7ad00b1f590c7f7289cfd64b575527541d2f74c51e2167f9	91020ccf15e7b89d7ad00b1f590c7f7289cfd64b575527541d2f74c51e2167f9	none
different	cards/gatecrash.c	b8b232e6e09fcdc795da4b37e71d0692b91c73b8954ca98b96e3cd5f6a312060	37bd01cf79ea00c372bf73f0c0846df4115a7508dd1f5d86c76ef25ceb5ee3c3	none
missing-in-program	cards/godless_shrine.asm	f03fe19bf6a921d1171372afb20a7e92bbf3811dd1ec0b41fc8140de38132fb1		none
missing-in-program	cards/green_creatures.c	a28db63ed54771bff9acc0d82c9d8002ebacafd42b3f82a39988926b7e9a60ac		none
missing-in-program	cards/green_enchantments.c	56d5201c9852cd79c05fbce472b3f9701891dc610efe576aaef1c0c9b6e30edd		none
missing-in-program	cards/green_oneshot.c	49a9ff164b6d54c65518332dd3784f424560da8036de451ec4bfe6def9bf86d0		none
different	cards/guildpact.c	96e397639b4f220cd3e44bddc133d75ad78fe511541a0cc93a995b650fb1d391	cacf77f9c2c062c5a32453147dcd38b5f8faaaf0f35e6da6c5353445a73cafe2	none
missing-in-program	cards/hallowed_fountain.asm	b2928a4e370eed9958841cb4699347b28d98c90095f257a350452a9e3743d3e1		none
different	cards/homelands.c	7a5be696d799d0efcf8fd5d7aefa4677dae0592d55f081fed37947bc5be989ce	e0f3767a2512087dd469ef5abf976e0b3c499ae81440397e0233afd1c6f62362	none
different	cards/ice_age.c	cff696a0ec233ebbf1c49ebae8b0e6b395c2fd741971084eb0fc3e66be23ec43	56c62439a7516cd42ff8d02775ac6e288063223e7c9704dc3e731949418bc4b7	none
different	cards/innistrad.c	ccb027f5a23f2e524676603e260eff323f33a253def03653b2e562fbaa6fe3fb	8c77d3d91f566a7ac5717dc9e835ceb2b769c2d1b064acbef6440f3d265b909c	none
different	cards/invasion.c	587a1f2390d2672503e535238f1eb8f8c5fe758b868f35fb11698d52b270740b	25ee9dcaf646748604a31f35cae994cd04f072de3c3b7c41c6de5bbda980cc51	none
missing-in-program	cards/jatill.c	97e960f90e348dd0fbf34c04f1d49cd9672229ec7151118ed01db4cc66983e7d		none
different	cards/journey_into_nyx.c	a6816007577982eef56dfa4072992abe024f7df70751c6146c9fb1a506ea995d	02e27a6d841abcd88f752c02fa3eb06f897ad3602f4b9d78b56b220249599de8	none
different	cards/judgement.c	1ba3e96af7db13db1a93e70374b4e535ea948820d510da875dbda9e48ba2e459	07975a7222806877015070896b4e1fa83185449b23d8fb40c863ffa42754a871	none
different	cards/khans_of_tarkir.c	d3fbfe44296c5f25ed9614fd9d9bbdc51c69251af33997cb60c819fcfb76ca8f	609fe23d305248019da6b6c419ba2643e15ce550fc3e4c477d3e999af3e0eb02	none
missing-in-program	cards/krakens_eye.asm	77bf4c8db6f9d6a9bf2c9d5200331d4921cb7c7dd9c76bd8722eac5860a256ce		none
missing-in-program	cards/lands.c	67bddd545b5bbdf1d487e2b9274376194b850cc31a49360b7bd2a371498ad213		none
different	cards/legends.c	98ba07feab274620b8479798c2d781430577eba03ee5f7f550622ca7c9965b74	8e8ba026f7d3e58a57cd95d456d8e551a7358dcaf4d3dde5b8c6c1010f931827	none
different	cards/legions.c	d06af437db3cba753176141267d61b6d2b0d76638e09c0439b644d7118e36676	5f93ca736511afa65e9dedb58967cf2f978521352a4876d9493ce42e51364e47	none
different	cards/lorwyn.c	5d1ad79693db79fba37c20e9b730de47fb8d4ae444edf6e43a438346b57be9d2	26b1d98cde34ff9db6acf2649015652d901a1951fbf11798eaf6326f7dca2a4d	none
different	cards/m10.c	dc293fbb88c8317c75461c89a193c11aebf258516d3623477c90d68af457861c	422429fc65ae96ab8411ab9f14df7584f31dc9bfda94e33ef9b7d0099f4ca246	none
different	cards/m11.c	05dde66bfac4b624e81c1b0d2859b5c788d294795ef835985852d7e95f9ddce5	66259901b7cebd78dca8ac05bc6b5d1346253c01f89c84763ced2f86aa27bc51	none
different	cards/m12.c	bd0cc0ff4349f9ba1632b05a22dc8013dcce2e8f515505b2aed4e4a4d06f61fe	3d66d41b26c8e1d5d15ce3dbf1edac15a08be1d4d33fa4c3fa566cd940e30fb5	none
different	cards/m13.c	c217cb0ea199407730564f9e924a123c925b71e8d13aebcf170e3123a160c124	dd3d0313703a0fc887ebfc6736c6fd974e66d1d0f5fb221bdecb7df3dddff7a1	none
different	cards/m14.c	2a5ea45c8397537d4727a697764402058c18a1c9b279809ca39ed5189d211994	17461c3051fa682a11fe7f4c17b8f8ef964f2ba2f2871735fe3c0f0f3620c96a	none
different	cards/m15.c	a93183a95aa9822270304a4fd6512bda31e4ef9048f1e2564a71bc0fe784971c	d28c9cc51068a2b1e1a4eae695f3778420e9d65a06a0d734e7c4c11731408a18	none
different	cards/mercadian_masques.c	aab024a89dd82e27943cb668bc54a382c6f23376665a3b37aa14a1de41b5b8fd	3f05f209628db45440437cc4b38e3710e414b2e5a9d36da625234442dc37e04e	none
different	cards/mirage.c	05811eb0891e5df9713f705c11aa4aa0e3fc8672b09c66185b7bd250c81bd0d1	1cd758a52d09d0880d88a7ff2624154b113f4609af77b4c7f415df4c29720b88	none
different	cards/mirrodin.c	1f64fa30f6ddd18322fc0ba259a125c74549fcbcea34e489c01c6d06d9a2c72d	16e201561667da979a10789936c9e1a8b323af5479ce6b787a967b3ed5dff53f	none
different	cards/mirrodin_besieged.c	8836413420cc837fb27ae725a9043022c9b6d594a1fd9fb1699c90cfa8d9aca4	80299c2bf38524a7b112f6b2fd726934d7146a16e6267f7c31e820bd9e248192	none
different	cards/morningtide.c	cc622ec205b6fdee8eaab786ad4c704bfdf6532d8badfb7de2dcfb4b2e27ede7	03ebf3930f4e215f9476286c1a21eee193ef1b0222ca2951419102354f280e8b	none
different	cards/nemesis.c	c427beba5686892b53eb4dcc9dd4929aa64e8b516cdfcbc11c88ba25957c0653	b4caa8e1b5f73b3ebecb15838b803dbbbe1c60d214c2420d63f3baac27141099	none
different	cards/new_phyrexia.c	d753bddef54a2cd62fea3f787c876eaf34685a51f876329cca63fe27c13e3221	cb759e98100419945ab7d38157d98e105ff7338aeeea5b9836208880b713d37c	none
missing-in-program	cards/oath_of_the_gatewatch.c	907d9d47ed8165dd8c4a0fc22ea4368bbea21bfc492035c8c05d28e4be6daa7d		none
missing-in-program	cards/obelisk_of_alara.asm	9b99787f71bc154a61450f9e7a65990e85a9f031f181ff40f7528a436766d553		none
different	cards/odissey.c	e15cadc542d297c4d9228ea4eb8081adc7b8d25dba885065bd728fbb779b4a34	e301b041c92ce4e5427ae3813f648aec62289665c439fbd94e8a86b6897d2736	none
different	cards/onslaught.c	a0d5ff53583473aac0473bf444a3fd05557928ac1856f0cc693ef3ab18894557	5d53dcb248565961a3cfe735e5984c1707a74ab5dda28606a5e1140c8100c403	none
different	cards/origins.c	cbd2cc7e4e3f418f392406df156012e97bb99359f75546bd38766f8ac760ca7c	afc757832c0ffaa93e0bd96b8f2c733fd8226aaaff34f49c1a32b760b0bb63a9	none
missing-in-program	cards/overgrown_tomb.asm	7f3990c625dbe75d2b039471ba38f63397ba31de64bfb05aa02ec528a94ffcca		none
different	cards/planar_chaos.c	f42e38a0fe765ab6dc37ced8f67c91f795341ac23ea3f6766d3e552f70fa69e3	4706d2d888abcd180751a09ac84531bdc375ab954be6f5c94ee078a786ca501b	none
different	cards/planechase.c	e492a68357c691f750798518c962ffd1212690d8fe3048e432931849c4e0889c	1a3e3a00d24bd08b486c4768e39a3c855c39c7e5ac5931c6d43d796f1424ae52	none
different	cards/planeshift.c	dcd7cdcddb78b7e375ecd1007bf240b83276c4b47d5a697f391108a539a7960d	5b2ed9234bcadae0a42228116f0abe9374fddb282573a667925140adf084a131	none
different	cards/planeswalker.c	781bcc4862d94db1f1e4c4801d7bf1cd54dc0e1cfa52f71ad6721055ec30f948	5fd6d4b4021eefb92c8583c1b6eaeb1823c4860554ba01553c74bde57ca69f58	none
different	cards/portal_1_2_3k.c	38c609e5ffa4942467598e2cf0771a1a62200b9818d687568d0180b502eca517	bfa6e9047523115b5e26feb74b875cf38d60d077f24389097e9e432fc98240be	none
different	cards/promo.c	05cebb398b505d0bdda21306427f40c706a2caccc029ef006ddc3071e5f386d2	b33dbd1408433c2784c5ac697aca7f254951e6901de1bd4d514e4633b25f81d8	none
different	cards/prophecy.c	225acf9f7e1d284b5074388c05080d5fdd5354c998fe52d227226f2d2172314a	e8394f388e116c4618360d0ecaf568708bd0be5e756165c050f71e2814c46f7d	none
different	cards/ravnica.c	c884419807faf0a00c6bb223b021b173ac3059e207f56451f9d94db52ed8d655	b842292c7b28dbb0db941d675bd5be8d67685e2f5138c5f046489167857e02ef	none
missing-in-program	cards/recoded_cards.c	158576f014e030d5bce471451260cf02d1c110836ef1836a61dab853cb673af0		none
missing-in-program	cards/red_creatures.c	5ec13e5e020aa943932a507985e91eedfe3268854dca79ba955f86e17dd49545		none
missing-in-program	cards/red_enchantments.c	dbf9f8d15b65e38a4a32903c264cee065af0d3c13b98c33ac76a5a289ac99ad3		none
missing-in-program	cards/red_oneshot.c	b57827ac1f062b9029d72e17fd620c331eeddb8d3981f52080130eb571b16183		none
different	cards/return_to_ravnica.c	5a0e9404c8f26a074e6dd31a647e1fec45c0fa0f5dbe27e38a48519b9138e514	371064640f55e08b1ba99dfe901ba039b669a05eb5c4b2e60aa1a80bb26e6061	none
different	cards/rise_of_the_eldrazi.c	99534b6126168ee2001f39162e678e5be2f6a0e6518b9e9d87282b7582997272	607dcaac5f4480ec4164156e8b2f63095d37569b915aee19c4bcd5bf28ea42a6	none
same	cards/sabertooth_nishoba.asm	a79b7de9e2f0cea63746cf821378a17ba724e5511f571842c5507358c5044509	a79b7de9e2f0cea63746cf821378a17ba724e5511f571842c5507358c5044509	none
