sha256	size	count	paths	top_level_dirs	extensions	basenames	risk_flags	classification	classification_reason
0e9d2214c919049c2b364b2a18dde0dc71e60d985f4be0ae074f999650c1fdde	810392	30	Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_BlackMana.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_BlackPatt.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_BlackPict.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_BlueMana.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_BluePatt.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_BluePict.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_GreenMana.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_GreenPatt.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_GreenPict.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_RedMana.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_RedPatt.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_RedPict.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_WhiteMana.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_WhitePatt.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Terr_WhitePict.bmp | Program/DuelArt/Terr_BlackMana.bmp | Program/DuelArt/Terr_BlackPatt.bmp | Program/DuelArt/Terr_BlackPict.bmp | Program/DuelArt/Terr_BlueMana.bmp | Program/DuelArt/Terr_BluePatt.bmp | Program/DuelArt/Terr_BluePict.bmp | Program/DuelArt/Terr_GreenMana.bmp | Program/DuelArt/Terr_GreenPatt.bmp | Program/DuelArt/Terr_GreenPict.bmp | Program/DuelArt/Terr_RedMana.bmp | Program/DuelArt/Terr_RedPatt.bmp | Program/DuelArt/Terr_RedPict.bmp | Program/DuelArt/Terr_WhiteMana.bmp | Program/DuelArt/Terr_WhitePatt.bmp | Program/DuelArt/Terr_WhitePict.bmp	Mods, Program	.bmp	Terr_BlackMana.bmp, Terr_BlackPatt.bmp, Terr_BlackPict.bmp, Terr_BlueMana.bmp, Terr_BluePatt.bmp, Terr_BluePict.bmp, Terr_GreenMana.bmp, Terr_GreenPatt.bmp, Terr_GreenPict.bmp, Terr_RedMana.bmp, Terr_RedPatt.bmp, Terr_RedPict.bmp, Terr_WhiteMana.bmp, Terr_WhitePatt.bmp, Terr_WhitePict.bmp	protected-runtime-dir, runtime-extension, undo-tree	needs-human-policy	Under _undo rollback/staging tree; launcher defines undo folders, so removal needs rollback policy proof.
a2ebc7afb3d104c7bdddf3dfe2991a92bd44018f3da55590501d317e7686ebec	1440056	6	Mods/Art/_undo/2016_02_12_12_15_32/ShellArt/WinBk_FoilPackScreen16.bmp | Mods/Art/_undo/2016_02_12_12_15_32/ShellArt/WinBk_Ladder16.bmp | Program/ShellArt/WinBk_FoilPackScreen16.bmp | Program/ShellArt/WinBk_Ladder16.bmp | Shellart/WinBk_FoilPackScreen16.bmp | Shellart/WinBk_Ladder16.bmp	Mods, Program, Shellart	.bmp	WinBk_FoilPackScreen16.bmp, WinBk_Ladder16.bmp	protected-asset-dir, protected-runtime-dir, runtime-extension, undo-tree	needs-human-policy	Under _undo rollback/staging tree; launcher defines undo folders, so removal needs rollback policy proof.
f1efc12f4662f61092981e41829c00e68851482d0e625302abc4d3cfbf6cda72	5094028	2	Exp1art/WinSealedTournament.avi | Manalink3/Program/Exp1Art/WinSealedTournament.avi	Exp1art, Manalink3	.avi	WinSealedTournament.avi	protected-asset-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
f9279ec5735bb3120e461339dbe94245a6201dd7ea89afa7c63ff1ae18f822e7	169016	30	Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_BlackMana.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_BlackPatt.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_BlackPict.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_BlueMana.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_BluePatt.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_BluePict.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_GreenMana.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_GreenPatt.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_GreenPict.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_RedMana.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_RedPatt.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_RedPict.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_WhiteMana.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_WhitePatt.bmp | Mods/Art/_undo/2016_02_12_12_15_32/DuelArt/Life_WhitePict.bmp | Program/DuelArt/Life_BlackMana.bmp | Program/DuelArt/Life_BlackPatt.bmp | Program/DuelArt/Life_BlackPict.bmp | Program/DuelArt/Life_BlueMana.bmp | Program/DuelArt/Life_BluePatt.bmp | Program/DuelArt/Life_BluePict.bmp | Program/DuelArt/Life_GreenMana.bmp | Program/DuelArt/Life_GreenPatt.bmp | Program/DuelArt/Life_GreenPict.bmp | Program/DuelArt/Life_RedMana.bmp | Program/DuelArt/Life_RedPatt.bmp | Program/DuelArt/Life_RedPict.bmp | Program/DuelArt/Life_WhiteMana.bmp | Program/DuelArt/Life_WhitePatt.bmp | Program/DuelArt/Life_WhitePict.bmp	Mods, Program	.bmp	Life_BlackMana.bmp, Life_BlackPatt.bmp, Life_BlackPict.bmp, Life_BlueMana.bmp, Life_BluePatt.bmp, Life_BluePict.bmp, Life_GreenMana.bmp, Life_GreenPatt.bmp, Life_GreenPict.bmp, Life_RedMana.bmp, Life_RedPatt.bmp, Life_RedPict.bmp, Life_WhiteMana.bmp, Life_WhitePatt.bmp, Life_WhitePict.bmp	protected-runtime-dir, runtime-extension, undo-tree	needs-human-policy	Under _undo rollback/staging tree; launcher defines undo folders, so removal needs rollback policy proof.
1d5111ef8a2fb08f538e0c234ae4ebef05d12cec621a956ab3f32eb6bf02b450	3142741	2	Manalink3/Program/ManalinkEx.dll | Program/ManalinkEx.dll	Manalink3, Program	.dll	ManalinkEx.dll	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
7f73a3df97ed4c9cc509c32e7bde651eeb5790ea8722d295d2e1c7c309242ef8	3055512	2	Program/statwin/Water.avi | Statwin/Water.avi	Program, Statwin	.avi	Water.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
0971fc5441ad845bacea77afe9615b820bd1e8caefc3ffad4ed21deabab47311	3024054	2	Mods/Art/_undo/2016_02_12_12_15_32/Exp1Art/PackBoostersLarge16.bmp | Program/Exp1Art/PackBoostersLarge16.bmp	Mods, Program	.bmp	PackBoostersLarge16.bmp	protected-runtime-dir, runtime-extension, undo-tree	needs-human-policy	Under _undo rollback/staging tree; launcher defines undo folders, so removal needs rollback policy proof.
2fac126b2c5230d3bc9ba8891a7b17c6351a9385e91fc52bf923827c76f6dcf0	2874838	2	Program/statwin/Bubbles.avi | Statwin/Bubbles.avi	Program, Statwin	.avi	Bubbles.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
6461acb9a602ce3f64312ed1469706b8dea8dee07566b2f1f6525edbd889c6e8	2719158	2	Program/statwin/Monster.avi | Statwin/Monster.avi	Program, Statwin	.avi	Monster.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
4ad0ceda188443d0190bee17ca2a671207585e5c96cf1e0435565b5dac7dc3fa	2682744	2	Program/statwin/Vine.avi | Statwin/Vine.avi	Program, Statwin	.avi	Vine.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
6c204c46c4c9400128d43e2912db22c042c465d425c7950cfe26106f859de34e	2301336	2	Program/statwin/Smoke.avi | Statwin/Smoke.avi	Program, Statwin	.avi	Smoke.avi	protected-runtime-dir, runtime-extension	protected-runtime	Runtime-looking directory or extension; needs runtime trace before path removal.
