enemy_number	enemy_name	color	active_deck_id	candidate_source	candidate_path	candidate_title	main_cards	all_cards	unique_main_cards	variant_sections	sha256	relation	warnings
1	Witch	black	0056	active-root	decks/0056.dck	Witch (Bl, Type 1)	60	60	46	0	92bb43abe6f1de65002d5402c122482c06eb5ec9f96bda00af8f02114f44af1d	current root deck	none
1	Witch	black	0056	active-program	Program/decks/0056.dck	Witch (Bl, Type 1)	60	60	13	0	8b34dffe0be9a344e915f1b721e73612f1f06f7240541c180ee2df0aba04b491	current Program deck	none
1	Witch	black	0056	variant-harder	Decks - Harder/0056.dck	Witch (Bl, 4th)	60	60	13	0	e1caa614e93c1baa1595c787a63ecad546ce8552c778386a9ab6e447f302172c	same-id variant candidate	none
1	Witch	black	0056	variant-new-original	decks - new original/0056.dck	Witch (Bl, Type 1)	60	60	13	0	8b34dffe0be9a344e915f1b721e73612f1f06f7240541c180ee2df0aba04b491	same-id variant candidate	none
1	Witch	black	0056	variant-original-spaced	Decks - Original/0056.dck	Witch (Bl, 4th)	59	77	13	6	8e0cfb25171559d46bebde964582d6d5f7dcdaa630830ff6ddb2272040f72c41	same-id variant candidate	6 variant section(s)
1	Witch	black	0056	variant-original-underscore	Decks_original/0056.dck	Witch (Bl, 4th)	59	77	13	6	8e0cfb25171559d46bebde964582d6d5f7dcdaa630830ff6ddb2272040f72c41	same-id variant candidate	6 variant section(s)
1	Witch	black	0056	variant-alt	Decks_alt/0056.dck	Witch (Bl, 4th)	60	60	14	0	b9da574a1276ac1b900e7ce3cfe3d90469eeef24c36cc84bbcc1dac2340c1a7d	same-id variant candidate	none
1	Witch	black	0056	variant-revision	Decks - revision/0056.dck	Witch (Bl, 4th)	119	137	27	6	e79adc158c2eca05b74c333255ca4f35e962e2930f1d3f1d7000dcf7761136ca	same-id variant candidate	6 variant section(s)
1	Witch	black	0056	variant-tim	Decks - Tim/0056.dck	Witch (Bl, 4th)	119	137	27	6	e79adc158c2eca05b74c333255ca4f35e962e2930f1d3f1d7000dcf7761136ca	same-id variant candidate	6 variant section(s)
1	Witch	black	0056	variant-rawky	decks - rawky/0056.dck	Witch (Bl, Type 1)	60	60	46	0	92bb43abe6f1de65002d5402c122482c06eb5ec9f96bda00af8f02114f44af1d	same-id variant duplicate of active root	none
2	Undead Knight	black	0016	active-root	decks/0016.dck	Undead Knight (Bl, Type 1)	60	60	15	0	98306e382078d045332b406417ce0e8975d413a36615336d98b932a833c13acc	current root deck	none
