classification	path_to_remove	kept_path	size_bytes	sha256	evidence	confidence	verification_commands	risk_notes
safe-remove	CardArtNew/Thumbs.db	<none: generated Windows Explorer thumbnail cache>	524800	d613ed811f078af12887dfb5d056373606c29d036574ee31315c427bf5f101ea	Only tracked OS/editor junk candidate; file reports Composite Document File V2 Document; exact-path references are docs/tools that will be updated; binary string scan over exe/dll files found no Thumbs.db reference.	high	file CardArtNew/Thumbs.db; shasum -a 256 CardArtNew/Thumbs.db; rg --fixed-strings Thumbs.db README.md AGENTS.md docs local tools archive .gitignore .gitattributes; binary strings scan over *.exe/*.dll; tools/verify-share-readiness.sh	Inside runtime-like CardArtNew tree, but file is Windows thumbnail cache, not an art asset; .gitignore already ignores Thumbs.db.
needs-human-decision	<none>	Manalink3/Mods/Art/CardFrames Sonic 2014.7z | Mods/Art/CardFrames Sonic 2014.7z	1818701	129d5aa8515e1aad57d74b45c3d12ae910c3c7292f960ae4b9b509854d3781f3	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Art/Default Sonic 2014.7z | Mods/Art/Default Sonic 2014.7z	34871655	40918e8c11cc883dc7c96bd6b04f9957cec3c3eff1a505cf5d3d8886c01f9c9b	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Art/DuelFace_DuelLife Sonic 2013.7z | Mods/Art/DuelFace_DuelLife Sonic 2013.7z	3032147	b9a430189d2b0ace7f68182be0dc86273bad964bebe5d2b5a5ba95c43f5ed901	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Art/DuelTerrain Ozks 2013.7z | Mods/Art/DuelTerrain Ozks 2013.7z	6466888	d3d0f2f50b9a8a4d7c40aa357cd53ddf442433fbef266452bc58b17ddd791f3c	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Art/Duel_DB Microprose 1997.7z | Mods/Art/Duel_DB Microprose 1997.7z	3554931	2a3cb186ae5c951230627b4d7d7dcf8199084323721c8952db37fd8c7e505af2	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Art/Duel_DB_Shell Ozks SolidClean 2014.7z | Mods/Art/Duel_DB_Shell Ozks SolidClean 2014.7z	3776150	ecd04be68b1ca32c3930ffa8a99ddd3d13ea24438233bfddc23c226150cdf224	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Art/Duel_Shell Salbei 2010.7z | Mods/Art/Duel_Shell Salbei 2010.7z	10178595	d9471da4723f8f5e3de487e0568513a9ea960c37a2be03b3a737beefb578d655	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Art/Duel_Shell Sarlack 2013.7z | Mods/Art/Duel_Shell Sarlack 2013.7z	20945536	35f8da3703b83edb5ce07b1cd264ef010bb63c07acef9299077fd30701f67965	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
needs-human-decision	<none>	Manalink3/Mods/Art/PlayFace Ozks Anime 2014.7z | Mods/Art/PlayFace Ozks Anime 2014.7z	5238509	1e7fa8d70193c698444c73c313aeabb4a8a5a35fa9f1fe0fdd454d85fec3e26d	Exact duplicate archive pair, but both root and Manalink3 launchers define modDir relative to their own package and enumerate Art/Rogues archives; Manalink3 is documented as a self-contained package snapshot.	medium duplicate, low removal	find Mods Manalink3/Mods -type f archives; SHA-256 pair scan; sed -n 1,140p Manalink_Launcher.cmd and Manalink3/Manalink_Launcher.cmd; rg basename checks for selected large archives	Removing either side could make the root Mods tree or Manalink3 package incomplete; requires explicit package canonicalization decision.
